timesteps	evaders	pursuers
111	[[19, 21]]	[[16, 21], [14, 20], [11, 21], [14, 23]]
112	[[20, 20]]	[[16, 21], [15, 19], [12, 20], [15, 24]]
113	[[21, 19]]	[[17, 20], [16, 18], [13, 19], [16, 23]]
114	[[21, 18]]	[[17, 20], [16, 18], [14, 18], [17, 22]]
115	[[22, 17]]	[[17, 20], [17, 17], [15, 17], [17, 22]]
116	[[22, 16]]	[[18, 19], [18, 16], [16, 16], [18, 21]]
117	[[23, 15]]	[[19, 18], [19, 15], [17, 15], [19, 20]]
118	[[22, 14]]	[[20, 17], [20, 14], [18, 14], [20, 19]]
119	[[22, 13]]	[[21, 16], [20, 14], [18, 13], [21, 18]]
120	[[22, 13]]	[[22, 15], [20, 13], [18, 13], [22, 17]]
121	[[21, 12]]	[[23, 15], [20, 13], [18, 13], [21, 16]]
122	[[21, 11]]	[[22, 14], [19, 12], [19, 14], [21, 16]]
123	[[20, 10]]	[[23, 13], [19, 11], [20, 13], [20, 15]]
124	[[19, 9]]	[[22, 12], [18, 10], [20, 12], [19, 14]]
125	[[18, 9]]	[[22, 11], [17, 9], [19, 11], [19, 13]]
126	[[17, 8]]	[[22, 11], [16, 8], [20, 10], [18, 12]]
127	[[16, 8]]	[[21, 12], [15, 8], [19, 9], [17, 11]]
128	[[16, 7]]	[[20, 11], [15, 7], [18, 8], [16, 10]]
129	[[15, 7]]	[[19, 10], [14, 6], [18, 7], [15, 9]]
130	[[15, 7]]	[[18, 9], [13, 6], [17, 6], [14, 9]]
131	[[14, 8]]	[[17, 8], [14, 5], [17, 6], [14, 9]]
132	[[13, 8]]	[[16, 9], [13, 6], [16, 5], [13, 10]]
133	[[12, 9]]	[[15, 9], [12, 6], [15, 6], [13, 10]]
134	[[11, 9]]	[[14, 8], [11, 7], [14, 6], [12, 11]]
135	[[10, 10]]	[[13, 9], [10, 7], [13, 7], [11, 11]]
136	[[9, 11]]	[[13, 10], [9, 7], [12, 8], [10, 12]]
137	[[9, 12]]	[[12, 10], [8, 8], [12, 8], [9, 13]]
138	[[8, 13]]	[[12, 11], [7, 9], [11, 9], [9, 14]]
139	[[8, 14]]	[[11, 12], [6, 10], [10, 10], [8, 15]]
140	[[8, 14]]	[[11, 13], [6, 11], [9, 11], [8, 16]]
141	[[7, 15]]	[[11, 14], [5, 12], [8, 12], [8, 16]]
142	[[8, 16]]	[[10, 14], [4, 13], [7, 13], [7, 17]]
143	[[8, 17]]	[[10, 15], [5, 14], [8, 14], [8, 18]]
144	[[9, 18]]	[[10, 16], [6, 15], [8, 15], [8, 19]]
145	[[9, 19]]	[[11, 17], [6, 15], [9, 16], [9, 20]]
146	[[10, 20]]	[[11, 18], [7, 16], [9, 17], [9, 21]]
147	[[11, 21]]	[[12, 19], [7, 17], [9, 17], [10, 22]]
148	[[12, 21]]	[[13, 20], [7, 17], [10, 18], [11, 23]]
149	[[13, 22]]	[[14, 21], [8, 18], [11, 19], [11, 23]]
150	[[13, 22]]	[[15, 22], [9, 19], [12, 20], [12, 24]]
151	[[14, 22]]	[[15, 22], [10, 20], [12, 20], [12, 24]]
152	[[15, 23]]	[[16, 23], [10, 20], [12, 20], [12, 24]]
153	[[16, 22]]	[[17, 23], [10, 20], [13, 21], [13, 25]]
154	[[17, 22]]	[[18, 22], [10, 21], [14, 22], [14, 24]]
155	[[17, 21]]	[[18, 21], [11, 20], [14, 22], [15, 25]]
156	[[16, 22]]	[[18, 21], [12, 20], [15, 21], [16, 24]]
157	[[15, 23]]	[[18, 21], [13, 21], [14, 22], [16, 24]]
158	[[14, 22]]	[[17, 21], [12, 22], [15, 21], [16, 25]]
159	[[13, 22]]	[[17, 21], [12, 22], [14, 20], [16, 24]]
160	[[13, 22]]	[[17, 22], [11, 22], [13, 20], [16, 24]]
161	[[12, 21]]	[[16, 22], [11, 22], [13, 20], [15, 24]]
