timesteps	evaders	pursuers
44	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
45	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
46	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
47	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
48	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
49	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
50	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
51	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
52	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
53	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
54	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
55	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
56	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
57	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
58	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
59	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
60	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
61	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
62	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
63	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
64	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
65	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
66	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
67	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
68	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
69	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
70	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
71	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
72	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
73	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
74	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
75	[[4, 18], [30, 7], [0, 26], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 1], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
