timesteps	evaders	pursuers
111	[[7, 2]]	[[8, 6], [12, 1], [12, 4], [6, 1], [16, 1], [7, 4], [9, 4], [10, 2]]
112	[[6, 2]]	[[7, 6], [12, 1], [11, 4], [5, 1], [15, 1], [6, 4], [9, 4], [9, 2]]
113	[[5, 2]]	[[6, 6], [11, 1], [11, 3], [4, 1], [14, 1], [5, 4], [8, 4], [8, 2]]
114	[[4, 2]]	[[5, 7], [10, 1], [10, 3], [3, 1], [13, 1], [5, 4], [7, 4], [7, 1]]
115	[[3, 2]]	[[4, 6], [9, 1], [9, 4], [2, 2], [12, 1], [4, 4], [6, 3], [6, 1]]
116	[[2, 2]]	[[4, 6], [8, 1], [8, 3], [1, 2], [11, 1], [4, 4], [6, 3], [5, 1]]
117	[[1, 2]]	[[4, 6], [7, 1], [8, 3], [1, 3], [10, 1], [4, 3], [6, 3], [4, 1]]
118	[[1, 1]]	[[3, 5], [6, 1], [8, 2], [1, 4], [10, 1], [3, 3], [5, 3], [3, 1]]
119	[[1, 2]]	[[3, 5], [5, 1], [7, 1], [1, 3], [9, 1], [3, 3], [5, 3], [3, 1]]
120	[[1, 2]]	[[2, 5], [5, 1], [7, 2], [1, 4], [9, 1], [3, 3], [5, 3], [3, 1]]
121	[[1, 1]]	[[1, 6], [5, 1], [7, 2], [1, 4], [9, 1], [3, 3], [5, 3], [3, 1]]
122	[[2, 2]]	[[1, 6], [5, 1], [7, 1], [1, 3], [9, 1], [3, 3], [5, 3], [3, 1]]
123	[[3, 3]]	[[1, 5], [5, 1], [7, 2], [1, 3], [9, 1], [3, 4], [5, 3], [3, 1]]
124	[[4, 4]]	[[1, 5], [5, 1], [8, 3], [1, 2], [8, 1], [3, 5], [5, 4], [3, 1]]
125	[[5, 5]]	[[1, 5], [5, 2], [7, 4], [2, 3], [7, 2], [4, 6], [6, 5], [3, 1]]
126	[[6, 6]]	[[1, 6], [5, 3], [8, 5], [3, 4], [7, 3], [5, 7], [7, 6], [3, 2]]
